Distrito,Candidato,Partido,Pacto,Votos,%,Resultado,Año
42,Jovino Parada Quintana,UCCP,Chile 2000,5453,"5,37",,1997
42,Patricio Lynch Gaete,UDI,Unión por Chile,5404,"5,32",,1997
42,Carlos Cortes Fuentes,ILE,Chile 2000,4706,"4,63",,1997
42,Esteban Sanhueza Debelli,PCCh,La Izquierda,3281,"3,23",,1997
42,Paula Lazo Riveros,PH,Partido Humanista,2266,"2,23",,1997
43,Jorge Ulloa Aguillón,UDI,Unión por Chile,31 373,"32,94",Diputado,1997
43,Víctor Jeame Barrueto,PPD,Concertación por la Democracia,30 842,"32,38",Diputado,1997
43,Ariel Duffau Gálvez,PDC,Concertación por la Democracia,19 793,"20,78",,1997
43,Gorky Díaz Medina,PCCh,La Izquierda,7040,"7,39",,1997
43,Guacolda Valenzuela Sandoval,RN,Unión por Chile,2823,"2,96",,1997
43,Ximena Garrido Olmedo,PH,Partido Humanista,2277,"2,39",,1997
43,Domingo Montecinos Osses,ILD,La Izquierda,1099,"1,15",,1997
44,José Miguel Ortiz Novoa,PDC,Concertación por la Democracia,41 499,"30,74",Diputado,1997
44,Enrique van Rysselberghe Varela,UDI,Unión por Chile,34 609,"25,64",Diputado,1997
44,Martita Worner Tapia,PPD,Concertación por la Democracia,32 135,"23,81",,1997
44,Iván Eliseo Quintana Miranda,PCCh,La Izquierda,11 280,"8,36",,1997
44,Juan Eduardo King Caldichoury,RN,Unión por Chile,10 253,"7,6",,1997
44,Luis Álvarez Michea,PH,Partido Humanista,2622,"1,94",,1997
44,Viviana Chirino Fernández,PH,Partido Humanista,2585,"1,92",,1997
45,Alejandro Navarro Brain,PS,Concertación por la Democracia,33 949,"35,98",Diputado,1997
45,Edmundo Salas de la Fuente,PDC,Concertación por la Democracia,31 316,"33,19",Diputado,1997
45,Robinson Alveal Fuentealba,UDI,Unión por Chile,10 142,"10,75",,1997
45,Magdalena Garces Luengo,PCCh,La Izquierda,5877,"6,23",,1997
45,Alejandro Pinto Ortega,RN,Unión por Chile,5528,"5,86",,1997
45,Héctor Aguilera Velásquez,ILD,La Izquierda,4105,"4,35",,1997
45,Rubén Villablanca Muñoz,PH,Partido Humanista,3435,"3,64",,1997
46,Claudio Medina Briones,PH,Partido Humanista,2558,"3,33",,1997
46,Haroldo Fossa Rojas,RN,Unión por Chile,11 409,"14,83",Diputado,1997
46,Alejandro Sáez Iglesias,UDI,Unión por Chile,10 298,"13,39",,1997
46,Jaime Rocha Manrique,PRSD,Concertación por la Democracia,23 661,"30,76",Diputado,1997
46,Ricardo Brodsky Baudet,PPD,Concertación por la Democracia,15 047,"19,56",,1997
46,Víctor Hugo Tiznado Césped,PCCh,La Izquierda,13 955,"18,14",,1997
47,Aída Caniu Trabol,PH,Partido Humanista,2530,"2,1",,1997
47,Robinson Rioseco Hahn,PH,Partido Humanista,1676,"1,39",,1997
47,Víctor Pérez Varela,UDI,Unión por Chile,43 640,"36,28",Diputado,1997
47,Carlos Azócar Manríquez,ILB,Unión por Chile,6801,"5,65",,1997
47,Joel Arriagada González,PDC,Concertación por la Democracia,26 995,"22,44",,1997
47,José Pérez Arriagada,PRSD,Concertación por la Democracia,29 311,"24,37",Diputado,1997
47,Jorge Rodríguez Carrillo,PCCh,La Izquierda,6158,"5,12",,1997
47,Patricio Badilla Cofré,UCCP,Chile 2000,3166,"2,63",,1997
48,Luis Monge Sánchez,ILB,Unión por Chile,17 454,"27,92",Diputado,1997
48,Edmundo Villouta Concha,PDC,Concertación por la Democracia,15 299,"24,47",Diputado,1997
48,Pepe Auth Stewart,PPD,Concertación por la Democracia,13 823,"22,11",,1997
48,Francisco Bayo Veloso,RN,Unión por Chile,12 054,"19,28",,1997
48,Domingo Marileo Toledo,PCCh,La Izquierda,3109,"4,97",,1997
48,Nicole Thuillier Lepeley,PH,Partido Humanista,785,"1,26",,1997
49,Freddy Díaz Retamal,PH,Partido Humanista,655,"1,15",,1997
49,Gregorio Correa de la Maza,ILB,Unión por Chile,5702,"10,03",,1997
49,José Antonio Galilea Vidaurre,RN,Unión por Chile,13 596,"23,93",Diputado,1997
49,Jaime Quintana Leal,PPD,Concertación por la Democracia,13 216,"23,26",,1997
