Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
33,Eugenio Bauer Jouanne,Alianza,Unión Demócrata Independiente,26504,"22,60%",2009
34,Alejandra Sepúlveda Orbenes,Chile Limpio. Vote Feliz,Partido Regionalista de los Independientes,42771,"45,55%",2009
34,Javier Macaya Danús,Alianza,Unión Demócrata Independiente,17130,"18,24%",2009
35,Juan Carlos Latorre Carmona,Concertación,Democracia Cristiana ,30300,"38,83%",2009
35,Ramón Barros Montero,Alianza,Unión Demócrata Independiente,29622,"37,96%",2009
36,Roberto León Ramírez,Concertación,Democracia Cristiana ,51476,"42,93%",2009
36,Celso Morales Muñoz,Alianza,Unión Demócrata Independiente,35732,"29,80%",2009
37,Sergio Aguiló Melo,Concertación,Partido Socialista,31649,"37,69%",2009
37,Germán Verdugo Soto,Alianza,Renovación Nacional,32864,"39,14%",2009
38,Pablo Lorenzini Basso,Concertación,Democracia Cristiana ,29320,"38,32%",2009
38,Pedro Pablo Álvarez-Salamanca Ramírez,Alianza,Unión Demócrata Independiente,15844,"20,71%",2009
39,Jorge Tarud Daccarett,Concertación,Partido por la Democracia ,38626,"46,26%",2009
39,Romilio Gutiérrez Pino,Alianza,Unión Demócrata Independiente,22487,"26,93%",2009
40,Guillermo Ceroni Fuentes,Concertación,Partido por la Democracia ,32643,"44,75%",2009
40,Ignacio Urrutia Bonilla,Alianza,Unión Demócrata Independiente,19323,"26,49%",2009
41,Carlos Abel Jarpa Wevar,Concertación,Partido Radical,24093,"19,12%",2009
41,Rosauro Martínez Labbé,Alianza,Renovación Nacional,42385,"33,64%",2009
42,Jorge Sabag Villalobos,Concertación,Democracia Cristiana ,32174,"28,59%",2009
42,Frank Sauerbaum Muñoz,Alianza,Renovación Nacional,22861,"20,33%",2009
43,Cristián Campos Jara,Concertación,Partido por la Democracia ,33622,"31,35%",2009
43,Jorge Ulloa Aguillón,Alianza,Unión Demócrata Independiente,30309,"28,26%",2009
44,José Miguel Ortiz Novoa,Concertación,Democracia Cristiana ,45379,"27,04%",2009
44,Enrique van Rysselberghe Herrera,Alianza,Unión Demócrata Independiente,44735,"26,65%",2009
45,Clemira Pacheco Rivas,Concertación,Partido Socialista,38379,"33,80%",2009
45,Sergio Bobadilla Muñoz,Alianza,Unión Demócrata Independiente,29272,"25,78%",2009
46,Iván Norambuena Farías,Alianza,Unión Demócrata Independiente,34852,"35,77%",2009
46,Manuel Monsalve Benavides,Concertación,Partido Socialista,30360,"31,16%",2009
47,José Pérez Arriagada,Concertación,Partido Radical,46606,"33,80%",2009
47,Juan Lobos Krause,Alianza,Unión Demócrata Independiente,51937,"37,67%",2009
48,Mario Venegas Cárdenas,Concertación,Democracia Cristiana ,20102,"29,80%",2009
48,Gonzalo Arenas Hodar,Alianza,Unión Demócrata Independiente,17223,"25,54%",2009
49,Fuad Chahín Valenzuela,Concertación,Democracia Cristiana ,20212,"30,26%",2009
49,Enrique Estay Peñaloza,Alianza,Unión Demócrata Independiente,16009,"23,97%",2009
50,René Saffirio Espinoza,Concertación,Democracia Cristiana ,37017,"30,83%",2009
50,Germán Becker Alvear,Alianza,Renovación Nacional,33785,"28,14%",2009
51,Joaquín Tuma Zedán,Concertación,Partido por la Democracia ,16327,"24,36%",2009
51,José Manuel Edwards Silva,Alianza,Renovación Nacional,11275,"16,82%",2009
52,Fernando Meza Moncada,Concertación,Partido Radical,22116,"32,72%",2009
52,René Manuel García García,Alianza,Renovación Nacional,20726,"30,66%",2009
53,Alfonso de Urresti Longton,Concertación,Partido Socialista,32433,"38,71%",2009
53,Roberto Delmastro Naso,Alianza,Renovación Nacional,25360,"30,27%",2009
54,Enrique Jaramillo Becker,Concertación,Partido por la Democracia ,29004,"37,43%",2009
